timestamp,date,hour
2023-08-30 06:39:45.853000+00:00,2023-08-30,6.65
2023-08-30 06:33:14.652000+00:00,2023-08-30,6.55
2023-08-30 06:32:33.082000+00:00,2023-08-30,6.53
2023-08-30 06:22:57.861000+00:00,2023-08-30,6.37
2023-08-30 04:52:13.849000+00:00,2023-08-30,4.87
2023-08-27 18:12:18.037000+00:00,2023-08-27,18.2
2023-08-27 05:01:24.088000+00:00,2023-08-27,5.02
2023-08-26 02:20:19.410000+00:00,2023-08-26,2.33
2023-08-25 21:37:23.814000+00:00,2023-08-25,21.62
2023-08-24 23:27:18.124000+00:00,2023-08-24,23.45
2023-08-24 21:00:47.124000+00:00,2023-08-24,21.0
2023-08-22 04:51:20.250000+00:00,2023-08-22,4.85
2023-08-20 17:44:02.398000+00:00,2023-08-20,17.73
2023-08-20 02:12:58.698000+00:00,2023-08-20,2.2
2023-08-17 23:02:44.021000+00:00,2023-08-17,23.03
2023-08-17 05:47:03.531000+00:00,2023-08-17,5.78
2023-08-17 02:53:48.525000+00:00,2023-08-17,2.88
2023-08-15 17:11:35.222000+00:00,2023-08-15,17.18
2023-08-15 16:33:08.220000+00:00,2023-08-15,16.55
2023-08-15 06:05:40.100000+00:00,2023-08-15,6.08
2023-08-15 04:29:54.822000+00:00,2023-08-15,4.48
2023-08-12 21:30:56.509000+00:00,2023-08-12,21.5
2023-08-12 20:18:45.918000+00:00,2023-08-12,20.3
2023-08-11 18:58:49.420000+00:00,2023-08-11,18.97
2023-08-11 16:34:49.507000+00:00,2023-08-11,16.57
2023-08-11 16:31:48.204000+00:00,2023-08-11,16.52
2023-08-10 22:18:57.394000+00:00,2023-08-10,22.3
2023-08-10 21:38:09.636000+00:00,2023-08-10,21.63
2023-08-10 21:37:18.188000+00:00,2023-08-10,21.62
2023-08-09 21:46:01.342000+00:00,2023-08-09,21.77
2023-08-08 08:32:14.789000+00:00,2023-08-08,8.53
2023-08-08 06:39:48.559000+00:00,2023-08-08,6.65
2023-08-07 17:58:18.222000+00:00,2023-08-07,17.97
2023-08-07 17:34:56.758000+00:00,2023-08-07,17.57
2023-08-05 04:56:38.598000+00:00,2023-08-05,4.93
2023-08-05 04:54:20.900000+00:00,2023-08-05,4.9
2023-08-04 17:54:31.116000+00:00,2023-08-04,17.9
2023-08-03 23:19:24.847000+00:00,2023-08-03,23.32
2023-08-03 05:19:15.642000+00:00,2023-08-03,5.32
2023-08-03 00:50:22.168000+00:00,2023-08-03,0.83
2023-08-01 05:08:10.364000+00:00,2023-08-01,5.13
2023-07-31 18:19:27.183000+00:00,2023-07-31,18.32
2023-07-31 16:05:19.604000+00:00,2023-07-31,16.08
2023-07-31 03:26:00.347000+00:00,2023-07-31,3.43
2023-07-29 23:03:50.378000+00:00,2023-07-29,23.05
2023-07-28 23:06:06.339000+00:00,2023-07-28,23.1
2023-07-28 06:00:02.077000+00:00,2023-07-28,6.0
2023-07-27 23:15:55.087000+00:00,2023-07-27,23.25
2023-07-27 21:42:21.514000+00:00,2023-07-27,21.7
2023-07-26 01:41:14.226000+00:00,2023-07-26,1.68
2023-07-24 23:22:59.345000+00:00,2023-07-24,23.37
2023-07-24 05:25:00.305000+00:00,2023-07-24,5.42
2023-07-24 02:08:37.039000+00:00,2023-07-24,2.13
2023-07-24 01:52:02.388000+00:00,2023-07-24,1.87
2023-07-22 02:57:32.004000+00:00,2023-07-22,2.95
2023-07-22 02:28:34.349000+00:00,2023-07-22,2.47
2023-07-22 02:23:29.425000+00:00,2023-07-22,2.38
2023-07-21 17:21:36.448000+00:00,2023-07-21,17.35
2023-07-19 03:30:19.060000+00:00,2023-07-19,3.5
2023-07-16 00:07:24.403000+00:00,2023-07-16,0.12
2023-07-14 16:05:47.585000+00:00,2023-07-14,16.08
2023-07-12 18:29:36.482000+00:00,2023-07-12,18.48
2023-07-12 03:27:10.142000+00:00,2023-07-12,3.45
2023-07-11 19:57:46.573000+00:00,2023-07-11,19.95
2023-06-26 04:29:42.842000+00:00,2023-06-26,4.48
2023-06-25 17:30:27.983000+00:00,2023-06-25,17.5
2023-06-23 03:04:49.927000+00:00,2023-06-23,3.07
2023-06-22 07:09:16.949000+00:00,2023-06-22,7.15
2023-06-22 07:05:39.493000+00:00,2023-06-22,7.08
2023-06-20 05:43:44.713000+00:00,2023-06-20,5.72
2023-06-20 04:48:18.776000+00:00,2023-06-20,4.8
2023-06-20 03:52:03.954000+00:00,2023-06-20,3.87
2023-06-19 17:41:14.009000+00:00,2023-06-19,17.68
2023-06-18 20:02:48.024000+00:00,2023-06-18,20.03
2023-06-18 19:57:03.141000+00:00,2023-06-18,19.95
2023-06-17 02:41:33.469000+00:00,2023-06-17,2.68
2023-06-13 15:59:57.739000+00:00,2023-06-13,15.98
2023-06-13 04:29:04.257000+00:00,2023-06-13,4.48
2023-06-12 18:41:49.771000+00:00,2023-06-12,18.68
2023-06-10 01:44:04.692000+00:00,2023-06-10,1.73
2023-06-10 01:25:47.757000+00:00,2023-06-10,1.42
2023-06-10 01:18:55.042000+00:00,2023-06-10,1.3
2023-06-09 04:38:20.889000+00:00,2023-06-09,4.63
2023-06-09 04:17:04.818000+00:00,2023-06-09,4.28
2023-06-08 03:37:20.280000+00:00,2023-06-08,3.62
2023-06-08 01:50:39.943000+00:00,2023-06-08,1.83
2023-06-07 19:18:11.290000+00:00,2023-06-07,19.3
2023-06-07 19:10:28.156000+00:00,2023-06-07,19.17
2023-06-07 05:52:37.324000+00:00,2023-06-07,5.87
2023-06-02 18:23:35.542000+00:00,2023-06-02,18.38
2023-05-27 02:29:29.657000+00:00,2023-05-27,2.48
2023-05-24 04:40:35.754000+00:00,2023-05-24,4.67
2023-05-22 20:17:04.107000+00:00,2023-05-22,20.28
2023-05-19 02:53:46.306000+00:00,2023-05-19,2.88
2023-05-19 01:37:35.525000+00:00,2023-05-19,1.62
2023-05-15 17:36:02.417000+00:00,2023-05-15,17.6
2023-05-15 17:32:21.875000+00:00,2023-05-15,17.53
2023-05-15 06:11:19.365000+00:00,2023-05-15,6.18
2023-05-15 05:41:15.879000+00:00,2023-05-15,5.68
2023-05-15 02:26:36.998000+00:00,2023-05-15,2.43
2023-05-15 02:21:15.811000+00:00,2023-05-15,2.35
2023-05-15 02:15:30.770000+00:00,2023-05-15,2.25
2023-05-14 07:51:27.737000+00:00,2023-05-14,7.85
2023-05-13 00:39:06.716000+00:00,2023-05-13,0.65
2023-05-12 01:03:07.756000+00:00,2023-05-12,1.05
2023-05-10 21:05:07.155000+00:00,2023-05-10,21.08
2023-05-08 16:50:33.261000+00:00,2023-05-08,16.83
2023-05-07 19:53:05.425000+00:00,2023-05-07,19.88
2023-05-05 14:45:02.039000+00:00,2023-05-05,14.75
2023-05-05 01:48:21.737000+00:00,2023-05-05,1.8
2023-05-04 03:48:27.900000+00:00,2023-05-04,3.8
2023-05-02 23:42:32.555000+00:00,2023-05-02,23.7
2023-05-01 22:00:20.163000+00:00,2023-05-01,22.0
2023-04-30 18:48:03.438000+00:00,2023-04-30,18.8
2023-04-29 02:39:44.837000+00:00,2023-04-29,2.65
2023-04-29 02:39:03.466000+00:00,2023-04-29,2.65
2023-04-27 22:54:01.484000+00:00,2023-04-27,22.9
2023-04-27 15:37:26.721000+00:00,2023-04-27,15.62
2023-04-27 14:18:40.659000+00:00,2023-04-27,14.3
2023-04-23 01:39:50.818000+00:00,2023-04-23,1.65
2023-04-22 00:04:07.804000+00:00,2023-04-22,0.07
2023-04-21 23:28:43.624000+00:00,2023-04-21,23.47
2023-04-21 19:26:50.997000+00:00,2023-04-21,19.43
2023-04-20 23:43:07.147000+00:00,2023-04-20,23.72
2023-04-20 22:02:42.118000+00:00,2023-04-20,22.03
2023-04-18 20:24:48.412000+00:00,2023-04-18,20.4
2023-04-17 19:17:47.290000+00:00,2023-04-17,19.28
2023-04-15 17:55:40.708000+00:00,2023-04-15,17.92
2023-04-14 19:36:05.137000+00:00,2023-04-14,19.6
2023-04-03 03:15:06.746000+00:00,2023-04-03,3.25
2023-04-03 03:10:40.298000+00:00,2023-04-03,3.17
2023-03-29 16:30:33.345000+00:00,2023-03-29,16.5
2023-03-28 16:30:24.942000+00:00,2023-03-28,16.5
2023-03-28 02:29:14.566000+00:00,2023-03-28,2.48
2023-03-27 03:25:59.625000+00:00,2023-03-27,3.42
2023-03-21 14:52:51.431000+00:00,2023-03-21,14.87
2023-03-21 13:29:57.513000+00:00,2023-03-21,13.48
2023-03-20 17:46:03.339000+00:00,2023-03-20,17.77
2023-03-19 02:18:08.071000+00:00,2023-03-19,2.3
2023-03-19 01:46:28.793000+00:00,2023-03-19,1.77
2023-03-16 22:10:03.635000+00:00,2023-03-16,22.17
2023-03-16 21:44:16.884000+00:00,2023-03-16,21.73
2023-03-11 03:00:19.022000+00:00,2023-03-11,3.0
2023-03-09 18:22:45.872000+00:00,2023-03-09,18.37
2023-03-06 00:16:14.528000+00:00,2023-03-06,0.27
2023-03-05 15:55:10.410000+00:00,2023-03-05,15.92
2023-02-28 14:59:49.816000+00:00,2023-02-28,14.98
2023-02-26 19:26:34.885000+00:00,2023-02-26,19.43
2023-02-23 07:24:32.650000+00:00,2023-02-23,7.4
2023-02-18 01:38:29.351000+00:00,2023-02-18,1.63
2023-02-18 01:35:32.899000+00:00,2023-02-18,1.58
2023-02-13 20:49:47.293000+00:00,2023-02-13,20.82
2023-02-11 03:17:04.730000+00:00,2023-02-11,3.28
2023-02-06 17:46:14.681000+00:00,2023-02-06,17.77
2023-02-06 07:52:19.292000+00:00,2023-02-06,7.87
2023-02-02 21:51:32.972000+00:00,2023-02-02,21.85
2023-02-02 20:25:25.257000+00:00,2023-02-02,20.42
2023-01-30 01:38:54.466000+00:00,2023-01-30,1.63
2023-01-29 18:23:13.432000+00:00,2023-01-29,18.38
2023-01-29 16:12:49.806000+00:00,2023-01-29,16.2
2023-01-28 03:29:00.144000+00:00,2023-01-28,3.48
2023-01-27 16:52:53.819000+00:00,2023-01-27,16.87
2023-01-26 18:40:34.409000+00:00,2023-01-26,18.67
2023-01-26 17:17:39.181000+00:00,2023-01-26,17.28
2023-01-24 16:49:57.177000+00:00,2023-01-24,16.82
2023-01-21 03:05:14.672000+00:00,2023-01-21,3.08
2023-01-21 02:57:43.860000+00:00,2023-01-21,2.95
2023-01-21 02:49:09.254000+00:00,2023-01-21,2.82
2023-01-19 17:40:34.359000+00:00,2023-01-19,17.67
2023-01-17 17:44:20.021000+00:00,2023-01-17,17.73
2023-01-17 01:06:51.141000+00:00,2023-01-17,1.1
2023-01-14 06:21:15.103000+00:00,2023-01-14,6.35
2023-01-14 04:47:20.510000+00:00,2023-01-14,4.78
2023-01-14 04:28:32.518000+00:00,2023-01-14,4.47
2023-01-13 17:33:15.175000+00:00,2023-01-13,17.55
2023-01-12 23:32:13.361000+00:00,2023-01-12,23.53
2023-01-05 02:30:30.205000+00:00,2023-01-05,2.5
2023-01-01 21:39:38.323000+00:00,2023-01-01,21.65
2022-12-31 21:44:48.890000+00:00,2022-12-31,21.73
2022-12-26 16:04:12.294000+00:00,2022-12-26,16.07
2022-12-26 07:16:00.810000+00:00,2022-12-26,7.27
2022-12-23 05:25:22.214000+00:00,2022-12-23,5.42
2022-12-21 19:43:00.343000+00:00,2022-12-21,19.72
2022-12-21 06:27:08.007000+00:00,2022-12-21,6.45
2022-12-21 04:56:21.702000+00:00,2022-12-21,4.93
2022-12-20 22:49:28.432000+00:00,2022-12-20,22.82
2022-12-20 20:19:03.984000+00:00,2022-12-20,20.32
2022-12-16 20:15:30.189000+00:00,2022-12-16,20.25
2022-12-16 18:47:35.021000+00:00,2022-12-16,18.78
2022-12-16 18:46:03.449000+00:00,2022-12-16,18.77
2022-12-16 08:56:06.624000+00:00,2022-12-16,8.93
2022-12-14 21:44:47.717000+00:00,2022-12-14,21.73
2022-12-13 20:45:36.097000+00:00,2022-12-13,20.75
2022-12-13 20:33:16.453000+00:00,2022-12-13,20.55
2022-12-12 05:34:38.521000+00:00,2022-12-12,5.57
2022-12-11 06:05:07.566000+00:00,2022-12-11,6.08
2022-12-10 18:58:22.743000+00:00,2022-12-10,18.97
2022-12-10 04:04:10.940000+00:00,2022-12-10,4.07
2022-12-10 03:37:24.361000+00:00,2022-12-10,3.62
2022-12-09 18:34:12.556000+00:00,2022-12-09,18.57
2022-12-06 18:29:26.104000+00:00,2022-12-06,18.48
2022-12-06 18:18:41.130000+00:00,2022-12-06,18.3
2022-12-05 09:08:58.472000+00:00,2022-12-05,9.13
2022-12-04 19:10:22.023000+00:00,2022-12-04,19.17
2022-12-04 19:03:43.633000+00:00,2022-12-04,19.05
2022-12-04 02:11:39.526000+00:00,2022-12-04,2.18
2022-12-03 23:53:52.999000+00:00,2022-12-03,23.88
2022-12-03 08:53:58.860000+00:00,2022-12-03,8.88
2022-12-03 08:41:13.553000+00:00,2022-12-03,8.68
2022-12-01 18:50:52.583000+00:00,2022-12-01,18.83
2022-12-01 18:02:32.411000+00:00,2022-12-01,18.03
2022-11-28 06:20:03.483000+00:00,2022-11-28,6.33
2022-11-27 17:21:59.186000+00:00,2022-11-27,17.35
2022-11-27 02:46:30.845000+00:00,2022-11-27,2.77
2022-11-22 05:36:16.184000+00:00,2022-11-22,5.6
2022-11-22 04:24:09.803000+00:00,2022-11-22,4.4
2022-11-19 01:53:44.530000+00:00,2022-11-19,1.88
2022-11-18 01:18:07.985000+00:00,2022-11-18,1.3
2022-11-18 01:11:02.283000+00:00,2022-11-18,1.18
2022-11-17 23:57:59.890000+00:00,2022-11-17,23.95
2022-11-16 07:56:13.300000+00:00,2022-11-16,7.93
2022-11-16 05:54:25.109000+00:00,2022-11-16,5.9
2022-11-13 20:11:00.949000+00:00,2022-11-13,20.18
2022-11-12 03:51:58.583000+00:00,2022-11-12,3.85
2022-11-12 03:48:27.610000+00:00,2022-11-12,3.8
2022-11-10 19:53:26.798000+00:00,2022-11-10,19.88
2022-10-31 23:42:06.186000+00:00,2022-10-31,23.7
2022-10-30 21:54:44.149000+00:00,2022-10-30,21.9
2022-10-30 21:08:02.159000+00:00,2022-10-30,21.13
2022-10-30 19:39:22.353000+00:00,2022-10-30,19.65
2022-10-30 18:28:35.765000+00:00,2022-10-30,18.47
